caller_id,enqueued_at_ms,accept_received_at_ms,ring_emitted_at_ms,dequeue_latency_ms,total_wait_ms,operator_id,status
1778646506.367,1778646507468,1778646526891,1778646526896,5,19428,op-009,ring
1778646507.369,1778646507568,1778646526993,1778646526997,4,19429,op-000,ring
1778646507.371,1778646507666,1778646527097,1778646527175,78,19509,op-001,ring
1778646507.373,1778646507770,1778646527196,1778646527201,5,19431,op-002,ring
1778646507.375,1778646507870,1778646527297,1778646527302,5,19432,op-003,ring
1778646507.377,1778646507970,1778646527398,1778646527403,5,19433,op-004,ring
1778646507.379,1778646508070,1778646527499,1778646527503,4,19433,op-005,ring
1778646507.381,1778646508167,1778646527600,1778646527605,5,19438,op-006,ring
1778646507.383,1778646508271,1778646527701,1778646527706,5,19435,op-007,ring
1778646507.385,1778646508370,1778646527802,1778646527807,5,19437,op-008,ring
1778646507.387,1778646508472,1778646527903,1778646527907,4,19435,op-009,ring
1778646508.389,1778646508569,1778646528011,1778646528022,11,19453,op-000,ring
1778646508.391,1778646508670,1778646528112,1778646528118,6,19448,op-001,ring
1778646508.393,1778646508768,1778646528213,1778646528217,4,19449,op-002,ring
1778646508.395,1778646508870,1778646528315,1778646528319,4,19449,op-003,ring
1778646508.397,1778646508970,1778646528419,1778646528423,4,19453,op-004,ring
1778646508.399,1778646509067,1778646528520,1778646528525,5,19458,op-005,ring
1778646508.401,1778646509169,1778646528621,1778646528628,7,19459,op-006,ring
1778646508.403,1778646509269,1778646528721,1778646528725,4,19456,op-007,ring
1778646508.405,1778646509373,1778646528822,1778646528826,4,19453,op-008,ring
1778646508.407,1778646509471,1778646528923,1778646528928,5,19457,op-009,ring
1778646509.409,1778646509574,1778646529028,1778646529034,6,19460,op-000,ring
1778646509.411,1778646509670,1778646529131,1778646529136,5,19466,op-001,ring
1778646509.413,1778646509766,1778646529232,1778646529235,3,19469,op-002,ring
1778646509.415,1778646509868,1778646529335,1778646529341,6,19473,op-003,ring
1778646509.417,1778646509971,1778646529442,1778646529446,4,19475,op-004,ring
1778646509.419,1778646510069,1778646529543,1778646529549,6,19480,op-005,ring
1778646509.421,1778646510170,1778646529649,1778646529653,4,19483,op-006,ring
1778646509.423,1778646510268,1778646529749,1778646529751,2,19483,op-007,ring
1778646509.425,1778646510368,1778646529849,1778646529852,3,19484,op-008,ring
1778646509.427,1778646510476,1778646529951,1778646529953,2,19477,op-009,ring
1778646510.429,1778646510570,1778646530053,1778646530058,5,19488,op-000,ring
1778646510.431,1778646510669,1778646530153,1778646530158,5,19489,op-001,ring
1778646510.433,1778646510769,1778646530254,1778646530258,4,19489,op-002,ring
1778646510.435,1778646510873,1778646530355,1778646530360,5,19487,op-003,ring
1778646510.437,1778646510971,1778646530458,1778646530462,4,19491,op-004,ring
1778646510.439,1778646511072,1778646530560,1778646530565,5,19493,op-005,ring
1778646510.441,1778646511169,1778646530660,1778646530665,5,19496,op-006,ring
1778646510.443,1778646511269,1778646530761,1778646530766,5,19497,op-007,ring
1778646510.445,1778646511375,1778646530862,1778646530866,4,19491,op-008,ring
1778646510.447,1778646511467,1778646530965,1778646530971,6,19504,op-009,ring
1778646511.449,1778646511568,1778646531066,1778646531068,2,19500,op-000,ring
1778646511.451,1778646511670,1778646531167,1778646531169,2,19499,op-001,ring
1778646511.453,1778646511770,1778646531267,1778646531270,3,19500,op-002,ring
1778646511.455,1778646511869,1778646531368,1778646531370,2,19501,op-003,ring
1778646511.457,1778646511970,1778646531470,1778646531472,2,19502,op-004,ring
1778646511.459,1778646512072,1778646531570,1778646531572,2,19500,op-005,ring
1778646511.461,,1778646531673,,,,,failed
1778646511.463,1778646512271,1778646531773,1778646531775,2,19504,op-007,ring
1778646511.467,1778646512469,1778646531874,1778646531878,4,19409,op-008,ring
1778646512.469,1778646512571,1778646531975,1778646531978,3,19407,op-009,ring
1778646512.471,1778646512668,1778646532078,1778646532083,5,19415,op-000,ring
1778646512.473,1778646512769,1778646532177,1778646532180,3,19411,op-001,ring
1778646512.475,1778646512871,1778646532279,1778646532281,2,19410,op-002,ring
1778646512.477,1778646512971,1778646532380,1778646532382,2,19411,op-003,ring
1778646512.479,1778646513067,1778646532480,1778646532482,2,19415,op-004,ring
1778646512.481,1778646513168,1778646532586,1778646532589,3,19421,op-005,ring
1778646512.483,1778646513271,1778646532686,1778646532690,4,19419,op-006,ring
1778646512.485,1778646513370,1778646532787,1778646532790,3,19420,op-007,ring
1778646512.487,1778646513466,1778646532888,1778646532891,3,19425,op-008,ring
1778646513.489,1778646513568,1778646532989,1778646532993,4,19425,op-009,ring
1778646513.491,1778646513670,1778646533090,1778646533094,4,19424,op-000,ring
1778646513.493,1778646513767,1778646533191,1778646533195,4,19428,op-001,ring
1778646513.495,1778646513875,1778646533292,1778646533297,5,19422,op-002,ring
1778646513.497,1778646513970,1778646533393,1778646533398,5,19428,op-003,ring
1778646513.499,1778646514070,1778646533494,1778646533498,4,19428,op-004,ring
1778646513.501,1778646514170,1778646533595,1778646533600,5,19430,op-005,ring
1778646513.503,1778646514271,1778646533696,1778646533699,3,19428,op-006,ring
1778646513.505,1778646514377,1778646533799,1778646533803,4,19426,op-007,ring
1778646513.507,1778646514471,1778646533900,1778646533905,5,19434,op-008,ring
1778646514.509,1778646514571,1778646534001,1778646534003,2,19432,op-009,ring
1778646514.511,1778646514674,1778646534103,1778646534108,5,19434,op-000,ring
1778646514.513,1778646514771,1778646534205,1778646534214,9,19443,op-001,ring
1778646514.515,1778646514870,1778646534306,1778646534312,6,19442,op-002,ring
1778646514.517,1778646514970,1778646534409,1778646534413,4,19443,op-003,ring
1778646514.519,1778646515074,1778646534510,1778646534514,4,19440,op-004,ring
1778646514.521,1778646515170,1778646534610,1778646534612,2,19442,op-005,ring
1778646514.523,1778646515269,1778646534712,1778646534717,5,19448,op-006,ring
1778646514.525,1778646515374,1778646534813,1778646534817,4,19443,op-007,ring
1778646514.527,1778646515469,1778646534914,1778646534918,4,19449,op-008,ring
1778646515.529,1778646515579,1778646535024,1778646535028,4,19449,op-009,ring
1778646515.531,1778646515670,1778646535127,1778646535132,5,19462,op-000,ring
1778646515.533,1778646515769,1778646535230,1778646535233,3,19464,op-001,ring
1778646515.535,1778646515877,1778646535330,1778646535334,4,19457,op-002,ring
1778646515.537,1778646515970,1778646535431,1778646535435,4,19465,op-003,ring
1778646515.539,1778646516069,1778646535532,1778646535537,5,19468,op-004,ring
1778646515.541,1778646516169,1778646535633,1778646535637,4,19468,op-005,ring
1778646515.543,1778646516269,1778646535736,1778646535741,5,19472,op-006,ring
1778646515.545,1778646516371,1778646535837,1778646535841,4,19470,op-007,ring
1778646515.547,1778646516468,1778646535939,1778646535943,4,19475,op-008,ring
1778646516.549,1778646516568,1778646536041,1778646536045,4,19477,op-009,ring
1778646516.551,1778646516671,1778646536141,1778646536143,2,19472,op-000,ring
1778646516.553,1778646516769,1778646536242,1778646536253,11,19484,op-001,ring
1778646516.555,1778646516871,1778646536343,1778646536348,5,19477,op-002,ring
1778646516.557,1778646516969,1778646536445,1778646536451,6,19482,op-003,ring
1778646516.559,1778646517069,1778646536546,1778646536550,4,19481,op-004,ring
1778646516.561,1778646517170,1778646536649,1778646536653,4,19483,op-005,ring
1778646516.563,1778646517271,1778646536751,1778646536756,5,19485,op-006,ring
1778646516.565,1778646517378,1778646536855,1778646536860,5,19482,op-007,ring
1778646516.567,1778646517470,1778646536955,1778646536960,5,19490,op-008,ring
1778646517.569,1778646517569,1778646537058,1778646537063,5,19494,op-009,ring
1778646517.571,1778646517669,1778646537159,1778646537166,7,19497,op-000,ring
1778646517.573,1778646517772,1778646537262,1778646537265,3,19493,op-001,ring
1778646517.575,1778646517881,1778646537363,1778646537367,4,19486,op-002,ring
